22127190,Pham Nguyen Khanh,09/02/2004,Male,Khoa Tieng Phap,2023,Ky su,54/8, duong 8, Phan Chu Trinh, TPHCM*khanh@clc.fitus.edu.vn,0975826173,-- ::
22127737,Trinh Anh Tai,17/06/2004,Male,Khoa Tieng Anh thuong mai,2022,Cu nhan,79, Le Loi, Quan 1, TPHCM*tai@clc.fitus.edu.vn,0935256214,-- ::
22127211,Pham Dinh Khoi,09/02/2004,Male,Khoa Tieng Indo,2023,Dao tao nganh Y khoa,58, Go Vap*khoi123@clc.fitus.edu.vn,0956252214,Bi duoi hoc,-- ::,-- ::
22128001,Le Hoang Nam,12/01/2005,Male,Khoa Luat,2023,Dao tao nganh Luat,101, Nguyen Van Troi, TP HCM*nam.le@clc.fitus.edu.vn,0321456789,Bao luu,-- ::
22128002,Tran Minh Duc,23/05/2004,Male,Khoa Tieng Han,2022,Cu nhan,23, Hoang Dieu, TP HCM*duc.tran@clc.fitus.edu.vn,0978523456,Da tot nghiep,-- ::
22128003,Nguyen Phuong Thao,19/07/2003,Female,Khoa Tieng Anh thuong mai,2021,Tien si,89, Le Thanh Ton, TP HCM*thao.nguyen@clc.fitus.edu.vn,0933654789,Da thoi hoc,-- ::
22128004,Pham Tuan Kiet,30/10/2004,Male,Khoa Tieng Phap,2023,Dao tao nganh Luat,45, Bui Thi Xuan, TP HCM*kiet.pham@clc.fitus.edu.vn,0987745632,Tam dung hoc,-- ::
22128005,Vo Hoang Yen,14/09/2005,Female,Khoa Tieng Indo,2024,Ky su,67, Tran Hung Dao, TP HCM*yen.vo@clc.fitus.edu.vn,0912345678,Dang hoc,-- ::
22128006,Hoang Van An,21/06/2003,Male,Khoa Luat,2021,Cu nhan,112, Hai Ba Trung, TP HCM*an.hoang@clc.fitus.edu.vn,0968452367,Bi duoi hoc,-- ::
22128007,Nguyen Hong Son,10/04/2002,Male,Khoa Tieng Han,2020,Thac si,34, Ly Thuong Kiet, TP HCM*son.nguyen@clc.fitus.edu.vn,0945789654,Da tot nghiep,-- ::
22128008,Le Thanh Phong,07/08/2004,Male,Khoa Tieng Anh thuong mai,2023,Cu nhan,78, Dinh Tien Hoang, TP HCM*phong.le@clc.fitus.edu.vn,0936547896,Dang hoc,-- ::
22128009,Tran Bich Ngoc,22/03/2005,Female,Khoa Tieng Phap,2023,Thac si,89, Cach Mang Thang 8, TP HCM*ngoc.tran@clc.fitus.edu.vn,0956234789,Tam dung hoc,-- ::
22128010,Pham Hoang Minh,03/11/2002,Male,Khoa Tieng Indo,2020,Dao tao nganh Cong nghe Thong tin,57, Pasteur, TP HCM*minh.pham@clc.fitus.edu.vn,0923456789,Bi duoi hoc,-- ::
22128011,Nguyen Quang Hieu,05/12/2003,Male,Khoa Luat,2022,Cu nhan,98, Nguyen Dinh Chieu, TP HCM*hieu.nguyen@clc.fitus.edu.vn,0987654321,Da thoi hoc,-- ::
22128012,Le Anh Thu,08/02/2004,Female,Khoa Tieng Han,2023,Cu nhan,45, Nguyen Trai, TP HCM*thu.le@clc.fitus.edu.vn,0932654789,Dang hoc,-- ::
22128013,Vo Minh Tri,16/06/2005,Male,Khoa Tieng Anh thuong mai,2024,Thac si,78, Ton Duc Thang, TP HCM*tri.vo@clc.fitus.edu.vn,0965243789,Da tot nghiep,-- ::
22128014,Tran Van Tam,13/09/2003,Male,Khoa Tieng Phap,2021,Tien si,109, Bach Dang, TP HCM*tam.tran@clc.fitus.edu.vn,0913654789,Tam dung hoc,-- ::
22128015,Nguyen Tuan Khoa,29/07/2004,Male,Khoa Tieng Indo,2023,Dao tao nganh Luat,120, Xo Viet Nghe Tinh, TP HCM*khoa.nguyen@clc.fitus.edu.vn,0932654781,Dang hoc,-- ::
22127246,Trinh Quang Minh,19/02/2004,Male,Khoa Luat,2019,Cu nhan,58, Phan Chu Trinh*minh@clc.fitus.edu.vn,0958256214,Dang hoc,-- ::,-- ::
22127191,Trinh Van Ky,05/09/2006,Male,Khoa Luat,2022,Cu nhan,5 Pham Cong Tru, Hai Phong*ky123@clc.fitus.edu.vn,0352212214,Dang hoc,-- ::,-- ::
22127406,Nguyen Quoc Thuna,03/05/2004,Male,Khoa Luat,2022,Cu nhan,29/5 Pham Cong Tru*Thuan@clc.fitus.edu.vn,0325202210,Dang hoc,2025-03-13 21:00:06,,-- ::
